dataset,modelo,instance,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
wine,model_2layers_20neurons.h5,0,0.1266369819641113,13,"{'x_0': 0.8710526315789475, 'x_1': 0.1608961303462321, 'x_2': 0.716577540106952, 'x_3': 0.7422680412371134, 'x_4': 0.3043478260869566, 'x_5': 0.6275862068965518, 'x_6': 0.2046413502109704, 'x_7': 0.7547169811320755, 'x_8': 0.7215189873417722, 'x_9': 1.0, 'x_10': 0.073170731707317, 'x_11': 0.2527472527472527, 'x_12': 0.3010244286840032}"
wine,model_2layers_20neurons.h5,1,0.1107676029205322,13,"{'x_0': 0.3947368421052633, 'x_1': 0.940936863543788, 'x_2': 0.6844919786096256, 'x_3': 0.7422680412371134, 'x_4': 0.2826086956521739, 'x_5': 0.2793103448275862, 'x_6': 0.0548523206751054, 'x_7': 0.9433962264150944, 'x_8': 0.2151898734177215, 'x_9': 0.2895204262877442, 'x_10': 0.2764227642276423, 'x_11': 0.1538461538461538, 'x_12': 0.1867612293144208}"
wine,model_2layers_20neurons.h5,2,0.1237337589263916,13,"{'x_0': 0.3526315789473684, 'x_1': 0.0366598778004073, 'x_2': 0.3957219251336897, 'x_3': 0.4072164948453608, 'x_4': 0.1956521739130435, 'x_5': 0.8758620689655172, 'x_6': 0.7194092827004218, 'x_7': 0.2075471698113207, 'x_8': 0.4841772151898734, 'x_9': 0.2451154529307282, 'x_10': 0.4552845528455285, 'x_11': 0.5494505494505495, 'x_12': 0.3010244286840032}"
wine,model_2layers_20neurons.h5,3,0.1217148303985595,13,"{'x_0': 0.6447368421052633, 'x_1': 0.1588594704684317, 'x_2': 0.6844919786096256, 'x_3': 0.6134020618556701, 'x_4': 0.2065217391304348, 'x_5': 0.5586206896551725, 'x_6': 0.160337552742616, 'x_7': 0.7358490566037735, 'x_8': 0.5917721518987342, 'x_9': 0.88898756660746, 'x_10': 0.073170731707317, 'x_11': 0.1868131868131868, 'x_12': 0.2695035460992908}"
wine,model_2layers_20neurons.h5,4,0.1179530620574951,13,"{'x_0': 0.5368421052631582, 'x_1': 0.1242362525458248, 'x_2': 0.3957219251336897, 'x_3': 0.2525773195876288, 'x_4': 0.3043478260869566, 'x_5': 0.4896551724137931, 'x_6': 0.4852320675105485, 'x_7': 0.2830188679245283, 'x_8': 0.300632911392405, 'x_9': 0.1740674955595027, 'x_10': 0.5691056910569106, 'x_11': 0.5201465201465201, 'x_12': 0.5847123719464146}"
wine,model_2layers_20neurons.h5,5,0.2364611625671386,10,"{'x_0': 0.3131578947368423, 'x_1': 0.0814663951120163, 'x_3': 0.4329896907216495, 'x_6': 0.3586497890295358, 'x_7': 0.490566037735849, 'x_8': 0.5253164556962024, 'x_9': 0.0852575488454707, 'x_10': 0.3089430894308944, 'x_11': 0.641025641025641, 'x_12': 0.0267927501970055}"
wine,model_2layers_20neurons.h5,6,0.183596134185791,11,"{'x_0': 0.431578947368421, 'x_1': 0.0183299389002036, 'x_3': 0.3814432989690721, 'x_4': 0.3152173913043478, 'x_5': 0.4206896551724138, 'x_6': 0.3375527426160337, 'x_7': 0.320754716981132, 'x_8': 0.3291139240506329, 'x_9': 0.0781527531083481, 'x_10': 0.6097560975609757, 'x_12': 0.1355397951142632}"
wine,model_2layers_20neurons.h5,7,0.1149184703826904,13,"{'x_0': 0.6078947368421055, 'x_1': 0.010183299389002, 'x_2': 0.5347593582887699, 'x_3': 0.3298969072164949, 'x_4': 0.4347826086956522, 'x_5': 0.5344827586206896, 'x_6': 0.2025316455696202, 'x_7': 0.7924528301886793, 'x_8': 0.0, 'x_9': 0.1269982238010657, 'x_10': 0.4390243902439024, 'x_11': 0.2417582417582417, 'x_12': 0.3719464144996061}"
wine,model_2layers_20neurons.h5,8,0.1207740306854248,13,"{'x_0': 0.6815789473684211, 'x_1': 0.8268839103869653, 'x_2': 0.5294117647058824, 'x_3': 0.4845360824742268, 'x_4': 0.2391304347826087, 'x_5': 0.3517241379310345, 'x_6': 0.0970464135021097, 'x_7': 0.641509433962264, 'x_8': 0.1898734177215189, 'x_9': 0.236234458259325, 'x_10': 0.3495934959349594, 'x_11': 0.2857142857142856, 'x_12': 0.2143420015760441}"
wine,model_2layers_20neurons.h5,9,0.1231811046600341,13,"{'x_0': 0.560526315789474, 'x_1': 0.2993890020366598, 'x_2': 0.7005347593582886, 'x_3': 0.4123711340206186, 'x_4': 0.3369565217391305, 'x_5': 0.6275862068965518, 'x_6': 0.6118143459915611, 'x_7': 0.320754716981132, 'x_8': 0.7563291139240507, 'x_9': 0.3499111900532859, 'x_10': 0.4471544715447155, 'x_11': 0.6959706959706959, 'x_12': 0.7147360126083531}"
wine,model_2layers_20neurons.h5,10,0.113767385482788,13,"{'x_0': 0.2763157894736845, 'x_1': 0.2423625254582485, 'x_2': 0.1818181818181816, 'x_3': 0.3556701030927836, 'x_4': 0.2934782608695653, 'x_5': 0.4310344827586208, 'x_6': 0.3860759493670885, 'x_7': 0.2452830188679245, 'x_8': 0.3101265822784809, 'x_9': 0.1385435168738898, 'x_10': 0.6422764227642277, 'x_11': 0.6190476190476191, 'x_12': 0.3404255319148936}"
wine,model_2layers_20neurons.h5,11,0.4201991558074951,9,"{'x_0': 0.3657894736842109, 'x_3': 0.8195876288659794, 'x_6': 0.3776371308016877, 'x_7': 0.5660377358490566, 'x_8': 0.4082278481012657, 'x_9': 0.0301953818827708, 'x_10': 0.3577235772357723, 'x_11': 0.6776556776556777, 'x_12': 0.0685579196217494}"
wine,model_2layers_20neurons.h5,12,0.1208727359771728,13,"{'x_0': 0.4078947368421053, 'x_1': 0.0814663951120163, 'x_2': 0.3957219251336897, 'x_3': 0.4845360824742268, 'x_4': 0.3586956521739129, 'x_5': 0.1724137931034483, 'x_6': 0.050632911392405, 'x_7': 0.7547169811320755, 'x_8': 0.3101265822784809, 'x_9': 0.5204262877442273, 'x_10': 0.08130081300813, 'x_11': 0.1025641025641025, 'x_12': 0.285263987391647}"
wine,model_2layers_20neurons.h5,13,0.142608642578125,11,"{'x_0': 0.736842105263158, 'x_3': 0.3402061855670103, 'x_4': 0.2608695652173912, 'x_5': 0.5068965517241381, 'x_6': 0.5590717299578059, 'x_7': 0.1698113207547169, 'x_8': 0.5917721518987342, 'x_9': 0.3428063943161634, 'x_10': 0.6178861788617886, 'x_11': 0.7692307692307694, 'x_12': 0.7777777777777779}"
wine,model_2layers_20neurons.h5,14,0.1266875267028808,13,"{'x_0': 0.5263157894736841, 'x_1': 0.0020366598778004, 'x_2': 0.1871657754010693, 'x_3': 0.2783505154639175, 'x_4': 0.1739130434782608, 'x_5': 0.3344827586206896, 'x_6': 0.3565400843881856, 'x_7': 0.2075471698113207, 'x_8': 0.3291139240506329, 'x_9': 0.2539964476021314, 'x_10': 0.5772357723577235, 'x_11': 0.4432234432234431, 'x_12': 0.0898345153664302}"
wine,model_2layers_20neurons.h5,15,0.1958546638488769,9,"{'x_0': 0.8394736842105264, 'x_3': 0.2938144329896908, 'x_5': 0.7655172413793105, 'x_6': 0.561181434599156, 'x_7': 0.2452830188679245, 'x_8': 0.5094936708860758, 'x_9': 0.4120781527531083, 'x_10': 0.3739837398373983, 'x_12': 0.5453112687155242}"
wine,model_2layers_20neurons.h5,16,0.1798083782196045,10,"{'x_0': 0.6210526315789475, 'x_3': 0.2835051546391753, 'x_5': 0.6448275862068966, 'x_6': 0.5485232067510548, 'x_7': 0.3962264150943396, 'x_8': 0.3259493670886075, 'x_9': 0.2717584369449378, 'x_10': 0.3577235772357723, 'x_11': 0.7142857142857144, 'x_12': 0.7226162332545312}"
wine,model_2layers_20neurons.h5,17,0.1468367576599121,13,"{'x_0': 0.5789473684210531, 'x_1': 0.4908350305498981, 'x_2': 0.4919786096256683, 'x_3': 0.4072164948453608, 'x_4': 0.3043478260869566, 'x_5': 0.2827586206896552, 'x_6': 0.1033755274261603, 'x_7': 0.9056603773584904, 'x_8': 0.4588607594936708, 'x_9': 0.7797513321492007, 'x_10': 0.0650406504065041, 'x_11': 0.0879120879120878, 'x_12': 0.3128447596532703}"
wine,model_2layers_20neurons.h5,18,0.1042385101318359,13,"{'x_0': 0.6473684210526316, 'x_1': 0.5498981670061099, 'x_2': 0.443850267379679, 'x_3': 0.458762886597938, 'x_4': 0.1956521739130435, 'x_5': 0.2206896551724139, 'x_6': 0.0295358649789029, 'x_7': 0.8490566037735847, 'x_8': 0.1455696202531645, 'x_9': 0.3516873889875666, 'x_10': 0.2682926829268293, 'x_11': 0.2014652014652014, 'x_12': 0.2379826635145784}"
wine,model_2layers_20neurons.h5,19,0.1152782440185546,13,"{'x_0': 0.3894736842105266, 'x_1': 0.1710794297352342, 'x_2': 0.3315508021390373, 'x_3': 0.5103092783505154, 'x_4': 0.1630434782608696, 'x_5': 0.4206896551724138, 'x_6': 0.3333333333333332, 'x_7': 0.3584905660377359, 'x_8': 0.3354430379746835, 'x_9': 0.1065719360568383, 'x_10': 0.4552845528455285, 'x_11': 0.8424908424908424, 'x_12': 0.3104806934594168}"
wine,model_2layers_20neurons.h5,20,0.1296057701110839,13,"{'x_0': 0.3421052631578951, 'x_1': 0.020366598778004, 'x_2': 0.3155080213903741, 'x_3': 0.2164948453608247, 'x_4': 0.717391304347826, 'x_5': 0.3172413793103448, 'x_6': 0.3185654008438818, 'x_7': 0.4150943396226414, 'x_8': 0.740506329113924, 'x_9': 0.1474245115452931, 'x_10': 0.4715447154471545, 'x_11': 0.380952380952381, 'x_12': 0.3719464144996061}"
wine,model_2layers_20neurons.h5,21,0.1406593322753906,13,"{'x_0': 0.5921052631578947, 'x_1': 0.1527494908350305, 'x_2': 0.7914438502673796, 'x_3': 0.2525773195876288, 'x_4': 0.4347826086956522, 'x_5': 0.5586206896551725, 'x_6': 0.4936708860759493, 'x_7': 0.3962264150943396, 'x_8': 0.2974683544303797, 'x_9': 0.2539964476021314, 'x_10': 0.4959349593495936, 'x_11': 0.5531135531135531, 'x_12': 0.4743892828999212}"
wine,model_2layers_20neurons.h5,22,0.2183289527893066,10,"{'x_0': 0.331578947368421, 'x_1': 0.3951120162932789, 'x_3': 0.3814432989690721, 'x_5': 0.5068965517241381, 'x_6': 0.4029535864978902, 'x_7': 0.2264150943396226, 'x_8': 0.4968354430379746, 'x_9': 0.0364120781527531, 'x_10': 0.5447154471544715, 'x_12': 0.0094562647754137}"
wine,model_2layers_20neurons.h5,23,0.1311886310577392,13,"{'x_0': 0.7052631578947373, 'x_1': 0.1975560081466395, 'x_2': 0.5347593582887699, 'x_3': 0.309278350515464, 'x_4': 0.3369565217391305, 'x_5': 0.5620689655172414, 'x_6': 0.5358649789029535, 'x_7': 0.2641509433962264, 'x_8': 0.4018987341772151, 'x_9': 0.1829484902309058, 'x_10': 0.5121951219512195, 'x_11': 1.0, 'x_12': 0.5965327029156817}"
wine,model_2layers_20neurons.h5,24,0.1314520835876464,13,"{'x_0': 0.7500000000000004, 'x_1': 0.8452138492871689, 'x_2': 0.4652406417112299, 'x_3': 0.4845360824742268, 'x_4': 0.108695652173913, 'x_5': 0.0, 'x_6': 0.0, 'x_7': 0.5094339622641509, 'x_8': 0.0822784810126582, 'x_9': 0.2806394316163411, 'x_10': 0.08130081300813, 'x_11': 0.021978021978022, 'x_12': 0.1079590228526398}"
wine,model_2layers_20neurons.h5,25,0.1274197101593017,13,"{'x_0': 0.331578947368421, 'x_1': 0.1059063136456211, 'x_2': 0.3315508021390373, 'x_3': 0.2783505154639175, 'x_4': 0.1630434782608696, 'x_5': 0.5413793103448276, 'x_6': 0.4556962025316455, 'x_7': 0.3018867924528301, 'x_8': 0.4272151898734177, 'x_9': 0.1030195381882771, 'x_10': 0.6097560975609757, 'x_11': 0.5384615384615385, 'x_12': 0.1182033096926714}"
wine,model_2layers_20neurons.h5,26,0.1246395111083984,13,"{'x_0': 0.310526315789474, 'x_1': 0.0610997963340121, 'x_2': 0.2085561497326202, 'x_3': 0.3195876288659794, 'x_4': 0.8804347826086957, 'x_5': 0.3, 'x_6': 0.1983122362869198, 'x_7': 0.0188679245283019, 'x_8': 0.6582278481012658, 'x_9': 0.0985790408525754, 'x_10': 0.6504065040650406, 'x_11': 0.6593406593406592, 'x_12': 0.3467297084318361}"
wine,model_2layers_20neurons.h5,27,0.1598427295684814,12,"{'x_0': 0.4710526315789476, 'x_1': 0.505091649694501, 'x_2': 0.5026737967914437, 'x_3': 0.458762886597938, 'x_5': 0.1724137931034483, 'x_6': 0.0675105485232067, 'x_7': 0.5094339622641509, 'x_8': 0.1740506329113924, 'x_9': 0.7566607460035524, 'x_10': 0.1951219512195122, 'x_11': 0.1758241758241758, 'x_12': 0.3207249802994484}"
wine,model_2layers_20neurons.h5,28,0.1678223609924316,9,"{'x_0': 0.8131578947368419, 'x_3': 0.3195876288659794, 'x_5': 0.4206896551724138, 'x_6': 0.440928270042194, 'x_7': 0.2452830188679245, 'x_8': 0.3639240506329114, 'x_9': 0.2895204262877442, 'x_10': 0.5609756097560976, 'x_12': 0.7895981087470451}"
wine,model_2layers_20neurons.h5,29,0.1909146308898925,8,"{'x_0': 0.8842105263157896, 'x_3': 0.2061855670103092, 'x_6': 0.4599156118143459, 'x_7': 0.320754716981132, 'x_8': 0.4936708860759493, 'x_9': 0.3117229129662522, 'x_10': 0.4390243902439024, 'x_12': 0.7974783293932232}"
wine,model_2layers_20neurons.h5,30,0.1593554019927978,12,"{'x_0': 0.5973684210526318, 'x_2': 0.4171122994652406, 'x_3': 0.3298969072164949, 'x_4': 0.2608695652173912, 'x_5': 0.4896551724137931, 'x_6': 0.390295358649789, 'x_7': 0.2641509433962264, 'x_8': 0.2943037974683544, 'x_9': 0.1962699822380107, 'x_10': 0.4390243902439024, 'x_11': 0.5494505494505495, 'x_12': 0.793538219070134}"
wine,model_2layers_20neurons.h5,31,0.1313328742980957,13,"{'x_0': 0.3210526315789477, 'x_1': 0.6089613034623217, 'x_2': 0.449197860962567, 'x_3': 0.4072164948453608, 'x_4': 0.4565217391304349, 'x_5': 0.1379310344827586, 'x_6': 0.0928270042194092, 'x_7': 0.3018867924528301, 'x_8': 0.2278481012658227, 'x_9': 0.5746003552397869, 'x_10': 0.1382113821138211, 'x_11': 0.2673992673992674, 'x_12': 0.454688731284476}"
wine,model_2layers_20neurons.h5,32,0.1148378849029541,13,"{'x_0': 0.5815789473684214, 'x_1': 0.3462321792260692, 'x_2': 0.8074866310160428, 'x_3': 0.5360824742268042, 'x_4': 0.5217391304347826, 'x_5': 0.6275862068965518, 'x_6': 0.4957805907172995, 'x_7': 0.490566037735849, 'x_8': 0.4430379746835443, 'x_9': 0.2291296625222025, 'x_10': 0.4552845528455285, 'x_11': 0.6080586080586081, 'x_12': 0.3601260835303389}"
wine,model_2layers_20neurons.h5,33,0.1182610988616943,13,"{'x_0': 0.6973684210526314, 'x_1': 0.1914460285132382, 'x_2': 0.5347593582887699, 'x_3': 0.3402061855670103, 'x_4': 0.3695652173913043, 'x_5': 0.496551724137931, 'x_6': 0.4957805907172995, 'x_7': 0.5471698113207547, 'x_8': 0.4905063291139239, 'x_9': 0.1865008880994671, 'x_10': 0.6097560975609757, 'x_11': 0.5860805860805862, 'x_12': 0.5610717100078803}"
wine,model_2layers_20neurons.h5,34,0.1186456680297851,13,"{'x_0': 0.3789473684210529, 'x_1': 0.1283095723014256, 'x_2': 0.449197860962567, 'x_3': 0.4329896907216495, 'x_4': 1.0, 'x_5': 0.5241379310344828, 'x_6': 0.4071729957805906, 'x_7': 0.3584905660377359, 'x_8': 0.9050632911392402, 'x_9': 0.0763765541740675, 'x_10': 0.5528455284552845, 'x_11': 0.4981684981684981, 'x_12': 0.5193065405831364}"
wine,model_2layers_20neurons.h5,35,0.1116209030151367,13,"{'x_0': 0.3078947368421052, 'x_1': 0.4358452138492871, 'x_2': 0.5133689839572192, 'x_3': 0.4329896907216495, 'x_4': 0.2826086956521739, 'x_5': 0.093103448275862, 'x_6': 0.0316455696202531, 'x_7': 0.5094339622641509, 'x_8': 0.0981012658227848, 'x_9': 0.3339253996447602, 'x_10': 0.1463414634146342, 'x_11': 0.2051282051282051, 'x_12': 0.1828211189913317}"
wine,model_2layers_20neurons.h5,36,0.1695528030395507,12,"{'x_0': 0.1657894736842107, 'x_1': 0.2016293279022403, 'x_3': 0.2783505154639175, 'x_4': 0.2934782608695653, 'x_5': 0.2172413793103449, 'x_6': 0.2594936708860759, 'x_7': 0.3962264150943396, 'x_8': 0.231012658227848, 'x_9': 0.1829484902309058, 'x_10': 0.6097560975609757, 'x_11': 0.3186813186813187, 'x_12': 0.1182033096926714}"
wine,model_2layers_20neurons.h5,37,0.1788756847381591,8,"{'x_0': 0.8078947368421052, 'x_3': 0.3814432989690721, 'x_6': 0.6286919831223627, 'x_7': 0.1698113207547169, 'x_8': 0.620253164556962, 'x_9': 0.3561278863232682, 'x_10': 0.6260162601626016, 'x_12': 0.9708431836091412}"
wine,model_2layers_20neurons.h5,38,0.1144394874572753,13,"{'x_0': 0.4842105263157896, 'x_1': 0.7576374745417516, 'x_2': 0.5989304812834223, 'x_3': 0.5618556701030928, 'x_4': 0.1739130434782608, 'x_5': 0.2482758620689655, 'x_6': 0.0654008438818565, 'x_7': 0.641509433962264, 'x_8': 0.1392405063291139, 'x_9': 0.524866785079929, 'x_10': 0.048780487804878, 'x_11': 0.2161172161172161, 'x_12': 0.2734436564223799}"
wine,model_2layers_20neurons.h5,39,0.1119554042816162,13,"{'x_0': 0.5315789473684216, 'x_1': 1.0, 'x_2': 0.4117647058823529, 'x_3': 0.5618556701030928, 'x_4': 0.1739130434782608, 'x_5': 0.5655172413793105, 'x_6': 0.4873417721518986, 'x_7': 0.320754716981132, 'x_8': 0.5031645569620251, 'x_9': 0.0763765541740675, 'x_10': 0.2032520325203252, 'x_11': 0.6703296703296704, 'x_12': 0.0803782505910165}"
wine,model_2layers_20neurons.h5,40,0.1544382572174072,9,"{'x_0': 0.8421052631578951, 'x_3': 0.2577319587628865, 'x_5': 0.6275862068965518, 'x_6': 0.5738396624472573, 'x_7': 0.2830188679245283, 'x_8': 0.5917721518987342, 'x_9': 0.3463587921847246, 'x_10': 0.4552845528455285, 'x_12': 0.620173364854216}"
wine,model_2layers_20neurons.h5,41,0.1159512996673584,13,"{'x_0': 0.655263157894737, 'x_1': 0.4643584521384928, 'x_2': 0.7272727272727274, 'x_3': 0.6649484536082475, 'x_4': 0.2934782608695653, 'x_5': 0.1965517241379311, 'x_6': 0.0379746835443037, 'x_7': 0.6981132075471698, 'x_8': 0.0411392405063291, 'x_9': 0.2317939609236234, 'x_10': 0.3333333333333333, 'x_11': 0.2893772893772894, 'x_12': 0.1907013396375098}"
wine,model_2layers_20neurons.h5,42,0.1855955123901367,12,"{'x_0': 0.3684210526315792, 'x_1': 0.130346232179226, 'x_3': 0.5618556701030928, 'x_4': 0.1739130434782608, 'x_5': 0.606896551724138, 'x_6': 0.5928270042194091, 'x_7': 0.490566037735849, 'x_8': 0.4272151898734177, 'x_9': 0.1953818827708703, 'x_10': 0.1707317073170731, 'x_11': 0.575091575091575, 'x_12': 0.0583136327817178}"
wine,model_2layers_20neurons.h5,43,0.2205080986022949,11,"{'x_0': 0.3000000000000002, 'x_2': 0.6256684491978607, 'x_3': 0.4329896907216495, 'x_5': 0.3137931034482758, 'x_6': 0.2974683544303796, 'x_7': 0.6037735849056604, 'x_8': 0.1930379746835442, 'x_9': 0.1074600355239787, 'x_10': 0.7886178861788617, 'x_11': 0.3516483516483517, 'x_12': 0.0606776989755713}"
wine,model_2layers_20neurons.h5,44,0.1200602054595947,13,"{'x_0': 0.5315789473684216, 'x_1': 0.1792260692464358, 'x_2': 0.3957219251336897, 'x_3': 0.3298969072164949, 'x_4': 0.4021739130434784, 'x_5': 0.6965517241379311, 'x_6': 0.561181434599156, 'x_7': 0.2830188679245283, 'x_8': 0.5094936708860758, 'x_9': 0.2930728241563055, 'x_10': 0.3252032520325204, 'x_11': 0.7619047619047619, 'x_12': 0.4783293932230102}"
wine,model_2layers_20neurons.h5,45,0.1517810821533203,12,"{'x_0': 0.2052631578947372, 'x_1': 0.2505091649694501, 'x_2': 0.7379679144385026, 'x_3': 0.5618556701030928, 'x_4': 0.6956521739130436, 'x_5': 0.2137931034482759, 'x_6': 0.1371308016877637, 'x_8': 0.360759493670886, 'x_9': 0.0674955595026643, 'x_10': 0.3821138211382114, 'x_11': 0.3626373626373625, 'x_12': 0.2734436564223799}"
wine,model_2layers_20neurons.h5,46,0.1174278259277343,13,"{'x_0': 0.7473684210526317, 'x_1': 0.2057026476578411, 'x_2': 0.7700534759358287, 'x_3': 0.4536082474226803, 'x_4': 0.4021739130434784, 'x_5': 0.6793103448275863, 'x_6': 0.5548523206751055, 'x_7': 0.4528301886792453, 'x_8': 0.4240506329113924, 'x_9': 0.2451154529307282, 'x_10': 0.6260162601626016, 'x_11': 0.7802197802197801, 'x_12': 0.5019700551615446}"
wine,model_2layers_20neurons.h5,47,0.1149508953094482,13,"{'x_0': 0.6657894736842107, 'x_1': 0.1670061099796334, 'x_2': 0.5080213903743315, 'x_3': 0.2886597938144329, 'x_4': 0.5108695652173912, 'x_5': 0.7482758620689656, 'x_6': 0.6223628691983122, 'x_7': 0.3962264150943396, 'x_8': 0.6075949367088607, 'x_9': 0.3898756660746003, 'x_10': 0.3821138211382114, 'x_11': 0.7728937728937728, 'x_12': 0.4074074074074074}"
wine,model_2layers_20neurons.h5,48,0.1867718696594238,11,"{'x_1': 0.2525458248472504, 'x_2': 0.7593582887700533, 'x_3': 0.922680412371134, 'x_5': 0.396551724137931, 'x_6': 0.4008438818565401, 'x_7': 0.8490566037735847, 'x_8': 0.4240506329113924, 'x_9': 0.1119005328596803, 'x_10': 0.3983739837398374, 'x_11': 0.4285714285714285, 'x_12': 0.1481481481481481}"
